ChangeN,ChangeC,PB,Tmax,Tmin,Tave,Crop,WPCT,WPNT,FCT,FNT,RCT,RNT,SCCT,SCNT,IrrigationCT,IrrigationNT,ST,Latitude,Longitude,NTyear
-0.027906977,0,250.3994813,32.43271688,17.1370574,28.38571412,soybean,1,1,2,2,1,1,3,3,2,2,8,-17.85,-63,3
-0.136531365,0,291.9421235,31.17334391,19.53538661,29.24285698,soybean,1,1,2,2,1,1,3,3,2,2,8,-17.85,-63,4
-0.019920319,0,302.5474766,30.36019011,18.70054774,28.41428593,soybean,1,1,2,2,1,1,3,3,2,2,8,-17.85,-63,5
-0.202898551,0,24.41551219,31.29821187,16.73385915,29.61666648,sunflower,1,1,2,2,1,1,3,3,2,2,8,-17.85,-63,6
0.068493151,1,179.5807075,29.05758765,14.5229886,22.8166666,wheat.spring,1,1,2,2,1,1,3,3,2,2,8,-17.85,-63,3
-0.027777778,0,117.7573873,30.76460906,13.45216813,22.54999987,wheat.spring,1,1,2,2,1,1,3,3,2,2,8,-17.85,-63,4
0.5,1,39.58800812,30.72099452,10.55832992,22.67142854,maize,1,1,0,0,1,1,3,3,2,2,8,-34.84,-58.47,3
-0.4,0,24.88434713,27.86423812,9.559864299,22.6500001,soybean,1,1,0,0,1,1,3,3,2,2,8,-34.84,-58.47,2
1.276595745,1,-325.373257,35.70445964,10.12735379,22.26000023,sorghum,1,1,3,3,0,0,1,1,2,2,4,35.18,-102.08,3
0.344481605,1,-88.59416344,31.10948893,12.64705436,21.72000008,sorghum,1,1,3,3,0,0,1,1,2,2,4,35.18,-102.08,4
0.384615385,1,-222.3263545,33.18162487,10.80618286,22.06000023,sorghum,1,1,3,3,0,0,1,1,2,2,4,35.18,-102.08,6
0.30625,1,-198.4150719,35.13960368,12.22302049,22.65999947,sorghum,1,1,3,3,0,0,1,1,2,2,4,35.18,-102.08,7
0.431034483,1,-131.7808924,33.92280825,10.25555223,21.55999985,sorghum,1,1,3,3,0,0,1,1,2,2,4,35.18,-102.08,8
-0.306620209,0,-226.1186866,31.10948893,-6.431653915,12.95555567,wheat.winter,1,1,3,3,0,0,1,1,2,2,4,35.18,-102.08,3
-0.210810811,0,-48.12950844,29.11494141,-3.416777826,12.8444443,wheat.winter,1,1,3,3,0,0,1,1,2,2,4,35.18,-102.08,4
-0.142105263,0,-284.5266052,31.34930216,-4.445998653,12.24444444,wheat.winter,1,1,3,3,0,0,1,1,2,2,4,35.18,-102.08,5
0.370860927,1,-181.0786933,35.13960368,-4.952817855,12.77777762,wheat.winter,1,1,3,3,0,0,1,1,2,2,4,35.18,-102.08,6
-0.09478673,0,-195.6914158,29.86785278,-2.154972938,13.2111111,wheat.winter,1,1,3,3,0,0,1,1,2,2,4,35.18,-102.08,7
1.857142857,1,-429.039592,32.22011312,-6.123175344,13.71111117,wheat.winter,1,1,3,3,0,0,1,1,2,2,4,35.18,-102.08,8
0.172413793,1,-71.74942765,32.33448841,8.659935736,22.01666641,cotton,1,1,1,1,0,0,0,1,2,2,3,33.69,-101.83,1
0.369565217,1,-221.0675834,32.34306844,8.852552845,22.04999987,cotton,1,1,1,1,0,0,0,1,2,2,3,33.69,-101.83,2
